epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.6227,2.4012,4.5403,3.75836,0.00103,0.48609,0.00166,0.00054,2.70375,3.5786,4.10404,0.000547118,0.000547118,0.000547118
2,44.7168,1.90895,3.39075,2.76896,0.52823,0.03348,0.25834,0.07735,2.03352,3.49742,3.08741,0.000993609,0.000993609,0.000993609
3,66.3857,1.72167,2.36145,2.36321,0.38494,0.23176,0.23213,0.11958,2.44653,2.83833,3.45598,0.00133008,0.00133008,0.00133008
4,87.876,1.5799,1.84126,2.15394,0.47144,0.68663,0.55153,0.25193,1.92289,1.72283,2.38108,0.0011719,0.0011719,0.0011719
5,109.453,1.44642,1.51846,1.99907,0.55529,0.86843,0.76384,0.42076,1.56126,1.25606,2.14561,0.00100687,0.00100687,0.00100687
6,131.088,1.35879,1.2932,1.91161,0.82275,0.81242,0.88313,0.56738,1.30259,1.02084,1.90429,0.000841835,0.000841835,0.000841835
7,152.64,1.27601,1.12956,1.82098,0.77836,0.90964,0.90999,0.5621,1.35332,0.9925,1.87505,0.000676802,0.000676802,0.000676802
8,174.092,1.18928,1.00826,1.71964,0.90841,0.88214,0.9557,0.66999,1.14877,0.80479,1.78978,0.000511769,0.000511769,0.000511769
9,195.541,1.12706,0.90754,1.65461,0.88142,0.90358,0.9352,0.62408,1.21797,0.8908,1.76567,0.000346736,0.000346736,0.000346736
10,216.98,1.06652,0.84386,1.59461,0.95639,0.91128,0.97081,0.71076,1.06303,0.73078,1.64172,0.000181703,0.000181703,0.000181703
