epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9834,1.1549,2.49138,1.35334,0.79717,0.65136,0.84315,0.67715,0.66305,1.89827,0.92632,0.000546984,0.000546984,0.000546984
2,24.759,0.82432,1.35132,1.06216,0.65615,0.78132,0.8658,0.71864,0.63498,1.5075,0.95173,0.000884326,0.000884326,0.000884326
3,36.3259,0.74975,1.07318,1.02131,0.97288,0.97243,0.97864,0.81991,0.63393,0.70867,0.92368,0.00100162,0.00100162,0.00100162
4,47.887,0.67582,0.89666,0.98544,0.97912,0.98201,0.98932,0.87165,0.5366,0.55841,0.85296,0.000676802,0.000676802,0.000676802
5,59.4031,0.61984,0.76291,0.96373,0.98034,0.98396,0.99263,0.89909,0.43943,0.45838,0.8196,0.000346736,0.000346736,0.000346736
