epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1213.9,0.62969,0.52887,1.15348,0.98842,1,0.99401,0.89604,0.48078,0.37292,1.00782,0.000990365,0.000990365,0.000990365
43,1239.47,0.62314,0.53398,1.14061,0.98953,0.9959,0.99476,0.8966,0.45821,0.37265,0.99854,0.000973861,0.000973861,0.000973861
44,1264.98,0.64202,0.54075,1.15271,0.98637,0.9949,0.99212,0.88949,0.48532,0.37172,1.00462,0.000957358,0.000957358,0.000957358
45,1290.49,0.61586,0.52364,1.14391,0.95188,1,0.99413,0.89764,0.46138,0.3731,0.99587,0.000940855,0.000940855,0.000940855
46,1316.08,0.61668,0.52163,1.14441,0.9546,0.99182,0.98986,0.90764,0.44897,0.3732,1.00683,0.000924352,0.000924352,0.000924352
47,1341.77,0.6134,0.51942,1.13363,0.99218,0.9918,0.99492,0.90354,0.45724,0.36323,1.00087,0.000907848,0.000907848,0.000907848
48,1367.41,0.62001,0.5181,1.14598,0.97767,0.9918,0.99357,0.89098,0.46356,0.38655,0.99507,0.000891345,0.000891345,0.000891345
49,1392.91,0.61917,0.52659,1.15434,0.97482,1,0.99476,0.91386,0.43413,0.35217,0.98205,0.000874842,0.000874842,0.000874842
50,1418.51,0.60241,0.51745,1.13051,0.98755,1,0.995,0.90551,0.45231,0.35345,0.9912,0.000858338,0.000858338,0.000858338
51,1444.16,0.57917,0.49467,1.11488,0.98145,0.9918,0.99326,0.90527,0.44094,0.37038,0.98332,0.000841835,0.000841835,0.000841835
52,1469.75,0.58503,0.51263,1.11951,0.9734,0.9959,0.99462,0.8979,0.46704,0.35195,1.00007,0.000825332,0.000825332,0.000825332
53,1495.28,0.59616,0.50707,1.11842,0.99606,1,0.995,0.91388,0.43643,0.32738,0.97408,0.000808828,0.000808828,0.000808828
54,1520.88,0.59144,0.48937,1.12066,0.98853,0.9918,0.99404,0.90757,0.44306,0.35014,0.9944,0.000792325,0.000792325,0.000792325
55,1546.39,0.5763,0.49515,1.11227,0.98681,0.9949,0.99284,0.90552,0.43623,0.35659,0.99568,0.000775822,0.000775822,0.000775822
56,1571.91,0.57223,0.48109,1.10442,0.99233,0.9959,0.995,0.90597,0.43704,0.33919,0.98121,0.000759318,0.000759318,0.000759318
57,1597.43,0.5769,0.4871,1.11611,0.99805,1,0.995,0.90668,0.43801,0.34134,0.98751,0.000742815,0.000742815,0.000742815
58,1622.96,0.5691,0.47926,1.11006,0.98648,0.9949,0.9917,0.91448,0.42845,0.35377,0.96964,0.000726312,0.000726312,0.000726312
59,1648.56,0.56429,0.47531,1.10137,0.99717,1,0.995,0.90562,0.44203,0.33028,0.97897,0.000709809,0.000709809,0.000709809
60,1674.1,0.55976,0.47923,1.0989,0.98226,0.97951,0.99335,0.91271,0.41633,0.32663,0.97193,0.000693305,0.000693305,0.000693305
61,1699.54,0.56103,0.47754,1.09646,0.98099,0.98473,0.99225,0.8989,0.44505,0.35503,0.99412,0.000676802,0.000676802,0.000676802
62,1724.97,0.56483,0.46709,1.10849,0.96696,0.99789,0.99312,0.91105,0.42869,0.33231,0.9807,0.000660299,0.000660299,0.000660299
63,1750.41,0.55933,0.47009,1.09805,0.98948,0.99939,0.995,0.91443,0.41603,0.33921,0.9649,0.000643795,0.000643795,0.000643795
64,1775.95,0.55078,0.46904,1.09005,0.98841,0.9918,0.99472,0.91142,0.40963,0.31642,0.96342,0.000627292,0.000627292,0.000627292
65,1801.53,0.55101,0.46068,1.1017,0.99382,1,0.995,0.91373,0.42165,0.32146,0.98334,0.000610789,0.000610789,0.000610789
66,1826.98,0.53767,0.46394,1.08165,0.99028,1,0.99476,0.90507,0.43317,0.3212,0.99039,0.000594286,0.000594286,0.000594286
67,1852.42,0.52138,0.43234,1.06997,0.99436,1,0.995,0.91952,0.40106,0.3135,0.97455,0.000577782,0.000577782,0.000577782
68,1877.99,0.53404,0.44676,1.07833,0.9766,0.97556,0.99303,0.91774,0.40748,0.31826,0.97118,0.000561279,0.000561279,0.000561279
69,1903.43,0.52185,0.4323,1.07172,0.97882,0.99758,0.9941,0.91892,0.39899,0.31973,0.96838,0.000544776,0.000544776,0.000544776
70,1928.89,0.5231,0.43349,1.07116,0.98587,0.9918,0.9948,0.91726,0.41319,0.30909,0.97587,0.000528272,0.000528272,0.000528272
71,1954.32,0.52366,0.4387,1.07159,0.98513,1,0.99492,0.92055,0.40194,0.30094,0.96887,0.000511769,0.000511769,0.000511769
72,1979.89,0.52155,0.44342,1.07324,0.97483,1,0.99472,0.92174,0.38369,0.30495,0.95843,0.000495266,0.000495266,0.000495266
73,2005.44,0.50986,0.42807,1.05869,0.99385,0.99636,0.995,0.91654,0.40438,0.30779,0.96271,0.000478762,0.000478762,0.000478762
74,2030.93,0.50713,0.41896,1.05705,0.99659,1,0.995,0.92357,0.4024,0.29851,0.96519,0.000462259,0.000462259,0.000462259
75,2056.46,0.50545,0.4257,1.06169,0.9974,0.99958,0.995,0.92019,0.40275,0.30266,0.96105,0.000445756,0.000445756,0.000445756
76,2081.92,0.51501,0.42951,1.06967,0.99563,1,0.995,0.93188,0.38975,0.29705,0.95276,0.000429253,0.000429253,0.000429253
77,2107.44,0.50442,0.43746,1.06434,0.98876,0.96275,0.99434,0.92696,0.39324,0.30829,0.94805,0.000412749,0.000412749,0.000412749
78,2132.91,0.50764,0.4278,1.0686,0.99194,1,0.99496,0.92538,0.38705,0.2997,0.95116,0.000396246,0.000396246,0.000396246
79,2158.35,0.48633,0.41181,1.04831,0.98616,1,0.9943,0.92576,0.37842,0.29744,0.94414,0.000379743,0.000379743,0.000379743
80,2183.82,0.48837,0.40963,1.05287,0.99157,1,0.995,0.92645,0.3779,0.29715,0.9506,0.000363239,0.000363239,0.000363239
81,2209.27,0.49267,0.4101,1.0574,0.99658,1,0.995,0.92245,0.38346,0.29628,0.95446,0.000346736,0.000346736,0.000346736
82,2234.74,0.48395,0.3982,1.04336,0.99224,1,0.995,0.92973,0.37499,0.29387,0.94781,0.000330233,0.000330233,0.000330233
83,2260.24,0.48973,0.40262,1.05149,0.98749,1,0.995,0.92962,0.37542,0.29424,0.947,0.000313729,0.000313729,0.000313729
84,2285.71,0.48344,0.40093,1.04852,0.97861,1,0.995,0.92796,0.3781,0.2969,0.95102,0.000297226,0.000297226,0.000297226
85,2311.21,0.47219,0.38461,1.03813,0.98749,1,0.995,0.92846,0.37779,0.28976,0.9508,0.000280723,0.000280723,0.000280723
86,2336.69,0.48167,0.40947,1.05366,0.98848,0.99969,0.995,0.93126,0.36964,0.28726,0.94135,0.00026422,0.00026422,0.00026422
87,2362.19,0.48101,0.40257,1.0455,0.99457,1,0.995,0.93016,0.38712,0.28349,0.95813,0.000247716,0.000247716,0.000247716
