epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
19,486.335,0.81948,0.73984,1.31668,0.97033,0.99453,0.99381,0.8475,0.63477,0.54422,1.15716,0.00107288,0.00107288,0.00107288
20,511.739,0.80173,0.70899,1.29996,0.98365,0.98628,0.99348,0.82913,0.62597,0.5207,1.14974,0.00103987,0.00103987,0.00103987
21,537.204,0.77084,0.69138,1.27476,0.99127,0.99822,0.995,0.85954,0.56322,0.47644,1.09878,0.00100687,0.00100687,0.00100687
22,562.848,0.76557,0.67832,1.27067,0.96246,0.95244,0.99288,0.85767,0.53822,0.49302,1.08414,0.000973861,0.000973861,0.000973861
23,588.309,0.76024,0.6707,1.27403,0.99404,0.99888,0.99495,0.86665,0.57701,0.42735,1.10254,0.000940855,0.000940855,0.000940855
24,613.876,0.747,0.6544,1.25048,0.99282,0.9959,0.99465,0.84345,0.61703,0.47307,1.12024,0.000907848,0.000907848,0.000907848
25,639.348,0.74316,0.65001,1.24659,0.99691,1,0.995,0.86612,0.54639,0.41687,1.08027,0.000874842,0.000874842,0.000874842
26,664.859,0.71171,0.62836,1.24132,0.98815,0.99142,0.99477,0.87822,0.52035,0.42655,1.07581,0.000841835,0.000841835,0.000841835
27,690.429,0.71434,0.62139,1.22965,0.9894,0.99077,0.99484,0.87114,0.54244,0.44759,1.06937,0.000808828,0.000808828,0.000808828
28,716.062,0.70554,0.61475,1.23352,0.99317,1,0.995,0.87993,0.52686,0.40366,1.05785,0.000775822,0.000775822,0.000775822
29,741.623,0.70392,0.6078,1.22315,0.99233,1,0.995,0.88045,0.51842,0.41445,1.06618,0.000742815,0.000742815,0.000742815
30,767.279,0.69136,0.59405,1.21545,0.9981,1,0.995,0.88268,0.50069,0.40933,1.03897,0.000709809,0.000709809,0.000709809
31,792.822,0.67119,0.58244,1.20314,0.97839,0.9959,0.9948,0.87429,0.49587,0.40248,1.0453,0.000676802,0.000676802,0.000676802
32,818.335,0.66742,0.58226,1.20483,0.9956,1,0.995,0.88166,0.52445,0.38768,1.03125,0.000643795,0.000643795,0.000643795
33,843.793,0.64273,0.55627,1.18247,0.98196,0.9918,0.99409,0.88713,0.49004,0.39912,1.02649,0.000610789,0.000610789,0.000610789
34,869.382,0.64839,0.55116,1.17265,0.98367,1,0.995,0.89305,0.49512,0.3984,1.03047,0.000577782,0.000577782,0.000577782
35,894.969,0.64328,0.54865,1.1733,0.93771,0.96962,0.99186,0.88395,0.47261,0.44003,1.01819,0.000544776,0.000544776,0.000544776
36,920.523,0.63304,0.5469,1.16064,0.95915,0.99068,0.9947,0.88913,0.4762,0.41021,1.01178,0.000511769,0.000511769,0.000511769
37,946.141,0.61563,0.52634,1.15873,0.99594,0.9877,0.99484,0.90034,0.46783,0.36622,1.00957,0.000478762,0.000478762,0.000478762
38,971.826,0.61629,0.53377,1.15213,0.98643,0.9959,0.995,0.90188,0.44553,0.36178,0.99162,0.000445756,0.000445756,0.000445756
39,997.585,0.59493,0.51125,1.13868,0.99623,1,0.995,0.89177,0.47737,0.35867,1.00611,0.000412749,0.000412749,0.000412749
40,1023.11,0.61181,0.52195,1.15681,0.98195,1,0.995,0.89984,0.45432,0.36757,1.00184,0.000379743,0.000379743,0.000379743
41,1049.17,0.49075,0.37925,1.00675,0.99493,1,0.995,0.90752,0.44502,0.36775,0.9911,0.000346736,0.000346736,0.000346736
42,1074.74,0.48006,0.36964,0.99511,0.99584,0.99815,0.995,0.8942,0.46546,0.36059,1.00523,0.000313729,0.000313729,0.000313729
43,1100.18,0.47016,0.35394,0.99779,0.98902,0.9918,0.99484,0.91001,0.43541,0.35476,0.99605,0.000280723,0.000280723,0.000280723
44,1125.72,0.45311,0.34525,0.97819,0.97764,0.9959,0.99495,0.90278,0.43316,0.36231,0.99148,0.000247716,0.000247716,0.000247716
45,1151.14,0.44686,0.34028,0.97663,0.98719,1,0.995,0.91638,0.41393,0.3362,0.97546,0.00021471,0.00021471,0.00021471
46,1176.74,0.43095,0.32844,0.96781,0.9927,1,0.995,0.91842,0.40944,0.33229,0.97615,0.000181703,0.000181703,0.000181703
47,1202.28,0.42533,0.32737,0.97219,0.99095,1,0.995,0.91609,0.41988,0.33489,0.9765,0.000148696,0.000148696,0.000148696
48,1227.74,0.41809,0.32079,0.95786,0.99186,0.99298,0.99488,0.92006,0.40682,0.32676,0.97107,0.00011569,0.00011569,0.00011569
49,1253.36,0.4179,0.31325,0.96332,0.99574,0.98766,0.99476,0.92222,0.39906,0.32341,0.96451,8.26832e-05,8.26832e-05,8.26832e-05
50,1278.82,0.40156,0.30647,0.94289,0.99207,1,0.995,0.92693,0.3989,0.31959,0.96476,4.96766e-05,4.96766e-05,4.96766e-05
