epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.2901,2.74753,3.87508,3.67255,0.00303,0.91803,0.05318,0.01219,1.91203,3.36931,2.92506,0.000550219,0.000550219,0.000550219
2,52.0499,2.2678,2.65205,2.84412,0.21894,0.1757,0.18407,0.04265,2.09688,3.03088,2.6709,0.00108399,0.00108399,0.00108399
3,77.5018,1.9091,2.0423,2.46769,0.41333,0.7069,0.46738,0.25198,1.62744,1.93102,2.14881,0.00159575,0.00159575,0.00159575
4,103.042,1.71426,1.74805,2.21705,0.45437,0.83878,0.57574,0.35921,1.29261,1.44263,1.96329,0.00156798,0.00156798,0.00156798
5,128.513,1.47597,1.48787,1.96206,0.61944,0.77956,0.77139,0.49824,1.27085,1.3159,1.85464,0.00153497,0.00153497,0.00153497
6,153.984,1.3363,1.32469,1.82134,0.78398,0.94279,0.93621,0.69043,0.93787,0.99476,1.59344,0.00150197,0.00150197,0.00150197
7,179.472,1.26668,1.22015,1.7566,0.76024,0.89152,0.91223,0.6697,0.95583,0.95328,1.59975,0.00146896,0.00146896,0.00146896
8,204.934,1.17718,1.13822,1.65147,0.92238,0.9049,0.97004,0.75982,0.8548,0.83314,1.48143,0.00143595,0.00143595,0.00143595
9,230.408,1.11137,1.07317,1.59794,0.87355,0.75954,0.89628,0.65291,1.0513,0.92274,1.56535,0.00140295,0.00140295,0.00140295
10,255.846,1.07025,0.98975,1.55256,0.97771,0.97378,0.99227,0.70708,0.97473,0.71725,1.57297,0.00136994,0.00136994,0.00136994
11,281.246,1.03399,0.96628,1.51751,0.88177,0.89594,0.96314,0.73372,0.87123,0.78664,1.45158,0.00133693,0.00133693,0.00133693
12,306.793,0.97451,0.91502,1.45893,0.97072,0.95875,0.98912,0.7766,0.81453,0.68161,1.33961,0.00130393,0.00130393,0.00130393
13,332.407,0.96742,0.87555,1.44409,0.95509,0.97892,0.98995,0.78629,0.80553,0.62448,1.26047,0.00127092,0.00127092,0.00127092
14,358.096,0.9301,0.84436,1.42281,0.95444,0.95496,0.9885,0.81168,0.75633,0.57194,1.28132,0.00123791,0.00123791,0.00123791
15,383.866,0.88298,0.79911,1.3771,0.99559,0.98767,0.995,0.81546,0.69904,0.55063,1.24139,0.00120491,0.00120491,0.00120491
16,409.467,0.86652,0.76963,1.35928,0.99381,0.96219,0.99242,0.82711,0.61638,0.53527,1.15407,0.0011719,0.0011719,0.0011719
17,435.085,0.89062,0.78321,1.37891,0.97771,0.94745,0.99102,0.8478,0.61598,0.48863,1.12321,0.00113889,0.00113889,0.00113889
18,460.731,0.82637,0.73596,1.32476,0.9835,0.98283,0.99371,0.85565,0.59901,0.48797,1.15859,0.00110589,0.00110589,0.00110589
