epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.3581,2.74753,3.87508,3.67255,0.00303,0.91803,0.05318,0.01219,1.91203,3.36931,2.92506,0.000550219,0.000550219,0.000550219
2,51.9606,2.27436,2.67071,2.85695,0.16508,0.01618,0.05507,0.02168,2.10448,3.37048,3.18768,0.00088692,0.00088692,0.00088692
3,77.2385,1.89981,2.04994,2.44389,0.48415,0.82519,0.5654,0.32896,1.42748,1.46907,2.10929,0.00100358,0.00100358,0.00100358
4,102.547,1.65451,1.71434,2.1589,0.55094,0.91061,0.7288,0.46144,1.3319,1.21572,1.92338,0.000676802,0.000676802,0.000676802
5,127.936,1.42297,1.44587,1.92354,0.76728,0.84041,0.89878,0.59628,1.18913,1.01906,1.79258,0.000346736,0.000346736,0.000346736
